"","X0CKA","X0CKB","X0MKA","X0MKB","X0NKA","X0NKB","X0SKA","X0SKB","X2CKA","X2CKB","X2MKA","X2MKB","X2NKA","X2NKB","X2SKA","X2SKB","X5CKA","X5CKB","X5MKA","X5MKB","X5NKA","X5NKB","X5SKA","X5SKB","X8CKA","X8CKB","X8MKA","X8MKB","X8NKA","X8NKB","X8SKA","X8SKB","X12CKA","X12CKB","X12MKA","X12MKB","X12NKA","X12NKB","X12SKA","X12SKB","X16CKA","X16CKB","X16MKA","X16MKB","X16NKA","X16NKB","X16SKA","X16SKB","X20CKA","X20CKB","X20MKA","X20MKB","X20NKA","X20NKB","X20SKA","X20SKB","X25CKA","X25CKB","X25MKA","X25MKB","X25NKA","X25NKB","X25SKA","X25SKB","X30CKA","X30CKB","X30MKA","X30MKB","X30NKA","X30NKB","X30SKA","X30SKB","X40CKA","X40CKB","X40MKA","X40MKB","X40NKA","X40NKB","X40SKA","X40SKB"
"methionine",1.7232,1.6773,4.2103,4.2231,1.342,1.5442,2.5924,2.4511,1.6773,1.4376,1.9606,1.9022,1.1307,0.9641,1.1473,2.4511,1.0704,1.3911,1.9244,1.7515,1.3576,1.4221,1.3708,1.2398,1.4731,1.2392,2.0077,1.7536,1.4154,1.5856,0.7383,0.7366,0.9777,0.5248,2.3118,1.5732,0.7745,0.4642,0.7578,0.4021,0.4359,0.1966,1.4946,1.4152,0.4029,0.4925,0.6688,0.6848,0.0563,0.5769,1.2295,1.2367,0.5167,0.5319,0.7582,0.7582,0.047,0.2047,1.256,1.1895,0.5146,0.5089,1.1473,0.9827,0.6591,0.6414,1.4748,1.393,0.9297,0.5259,0.7088,0.8012,0.5987,0.5184,0.7523,1.0363,0.7059,0.2866,1.0551,1.156
"phenylalanine",1.4492,0.8978,2.9623,3.1335,0.9087,0.8868,2.152,2.2716,0.8978,0.663,2.0069,1.9961,0.5977,0.5547,0.9666,2.2716,0.564,0.585,1.9025,2.1477,0.5453,0.6145,1.4861,1.2732,0.6583,0.6491,2.189,1.8673,0.6791,0.7777,1.1313,1.1717,0.69,0.655,1.8696,1.5573,0.6977,0.6134,1.1299,1.0816,0.6589,0.6667,1.7848,1.8899,0.6053,0.5796,1.1317,1.1499,0.7802,0.5829,1.7439,1.665,0.6849,0.5755,1.208,1.208,0.5592,0.6147,1.7391,1.7837,0.7462,0.6914,0.9666,1.0787,0.8246,0.6469,1.9899,1.9966,0.7891,0.7857,1.3694,1.4733,0.8938,0.8919,1.3863,1.3509,0.8716,0.6993,2.0268,1.6411
"proline",6.8765,12.8939,13.4166,13.6071,10.452,11.1153,20.2406,19.8145,12.8939,8.6496,8.4227,8.1376,6.4184,6.5329,9.2138,19.8145,6.4013,4.9895,10.593,10.6397,5.0992,5.6429,9.8826,8.8551,6.5791,5.9879,13.2313,11.4259,6.1192,6.4266,5.3243,4.8241,6.2845,5.267,11.552,9.8424,6.4594,0.5656,6.1298,5.5208,5.7078,1.8375,8.5583,8.9892,5.2233,5.2624,5.7977,5.9104,1.5314,6.41,8.212,8.4204,6.045,5.4002,5.9498,5.9498,1.5963,1.6356,9.1779,7.7459,7.0427,5.6502,9.2138,8.9361,9.8556,8.627,10.2794,8.7324,9.6637,8.5268,5.1004,5.6819,7.6185,6.4813,4.4228,4.4756,9.5647,2.3286,5.8257,5.4846
"serine",70.7919,48.8861,41.139,37.3112,43.1603,48.9135,62.3841,61.8864,48.8861,36.7779,27.1389,23.1035,26.0567,20.7675,8.9779,61.8864,18.383,28.047,36.9489,41.1579,24.5152,25.5203,43.021,41.0255,22.29,25.7993,40.0399,32.6132,20.9344,27.7128,20.2141,24.4133,21.466,17.5623,29.5712,27.6543,20.6629,35.3882,21.2577,15.6138,14.223,24.2763,21.6042,24.7357,13.8103,13.7569,15.851,14.3734,25.3692,13.5739,16.3883,20.1425,13.6631,11.8918,11.5642,11.5642,22.4489,21.6753,17.0883,20.9286,11.8196,11.0965,8.9779,9.8922,12.2954,9.4509,11.5112,13.562,9.1114,11.2897,16.1807,14.659,8.0969,8.5774,13.9531,11.8233,9.8733,16.9116,14.2531,12.9086
"sucrose",21.1749,13.7503,12.8329,12.8254,11.6945,11.1995,15.9247,16.8473,13.7503,7.5714,6.0793,6.1621,5.8096,5.1599,0.5866,16.8473,3.3156,4.2948,5.5009,6.5634,3.6918,4.0765,6.8574,6.1068,2.9427,3.3794,5.3708,4.4006,2.6864,3.5182,3.1411,3.4926,1.9844,1.8586,2.5649,2.2338,2.2144,3.8009,2.6373,1.3135,1.3194,2.2017,1.702,2.1877,1.5329,1.4473,1.561,1.5339,2.0251,0.8699,1.1994,1.5412,1.2023,1.0222,1.0168,1.0168,1.7104,1.648,1.1205,1.5085,0.8719,0.7898,0.5866,0.6738,0.8107,0.6888,0.8788,1.1324,0.8225,0.8146,1.2196,1.1791,0.6053,0.6723,1.0571,1.1074,0.6669,1.48,1.892,1.0903
"threonine",4.5657,3.8285,9.5504,8.8599,2.4494,2.488,8.6102,8.4726,3.8285,2.7088,5.7708,5.4311,1.623,1.5513,6.8555,8.4726,1.8034,2.1703,8.107,8.1721,1.3968,1.4392,5.7017,5.6824,2.8877,2.7468,11.8319,10.3392,1.6029,1.6372,2.9605,3.4998,9.6451,8.1197,17.1031,17.5573,6.054,8.1339,12.3092,11.2543,11.4061,18.3486,16.7444,20.192,12.3868,11.1332,14.7921,13.9037,12.1657,8.4253,10.8922,15.4138,11.6269,9.0183,8.9788,8.9788,6.6298,6.4819,10.678,10.9533,9.7873,7.5543,6.8555,7.2638,8.0279,5.6386,7.0333,7.3709,6.6996,7.1109,6.9008,5.5457,4.9246,3.7354,5.6088,3.9661,7.4003,6.5067,6.682,4.819
"trimethylamine",0.5927,0.9019,2.241,2.287,0.3802,0.8867,1.524,1.4918,0.9019,0.7493,1.3725,1.3345,0.739,0.7035,0.792,1.4918,0.6756,0.6501,1.3912,1.3549,0.6991,0.7129,1.0246,0.9832,0.742,0.6804,1.3547,1.2503,0.7198,0.6996,0.6523,0.6784,0.7971,0.6643,1.3769,1.1678,0.7449,0.7517,0.6884,0.6435,0.6557,0.6739,0.9779,1.0527,0.6394,0.6872,0.6479,0.6312,0.6577,0.739,0.7424,0.7908,0.6706,0.702,0.5978,0.5978,0.6606,0.6634,0.8395,0.8509,0.6403,0.6828,0.792,0.6971,0.7617,0.6426,0.7233,0.7134,0.76,0.626,0.6447,0.5917,0.6381,0.6144,0.6111,0.6446,0.6673,0.5873,0.5741,0.6495
"trimethylamine N-oxide",2.9382,2.7484,2.5748,2.344,2.8807,2.6978,4.3595,4.4945,2.7484,2.5167,1.9213,1.8229,1.9625,1.7722,1.5953,4.4945,2.0066,2.228,2.835,2.9284,2.1457,2.2091,3.2248,2.8225,2.4757,2.3491,3.2996,2.8442,2.2059,2.5802,2.1019,2.3115,2.558,2.0385,3.3949,2.6855,2.5123,2.772,2.2293,1.5041,1.9861,2.1859,2.3202,2.4666,1.8445,1.9357,1.6964,1.6741,1.8256,1.7202,1.6832,1.9281,1.9952,1.8599,1.4779,1.4779,1.6917,1.6828,1.7036,1.8618,1.8332,1.7095,1.5953,1.4062,1.7976,1.5473,1.5167,1.5574,1.9468,1.5857,1.5085,1.5223,1.4811,1.4555,1.5224,1.5535,1.7149,1.6606,1.9969,1.6668
"tryptophan",0.9855,0.2748,0.4828,0.4216,0.211,0.2786,0.5255,0.6019,0.2748,0.1712,0.2035,0.1683,0.1298,0.1405,0.2512,0.6019,0.1305,0.1461,0.2159,0.326,0.1514,0.195,0.3594,0.3031,0.1914,0.1586,0.3176,0.2403,0.1868,0.2365,0.2527,0.2636,0.2032,0.1927,0.3001,0.2263,0.1902,0.1904,0.2987,0.2216,0.1923,0.1982,0.2317,0.2329,0.1622,0.1702,0.2732,0.2746,0.2433,0.2223,0.239,0.2759,0.1959,0.1694,0.2281,0.2281,0.229,0.236,0.2608,0.2811,0.2285,0.1844,0.2512,0.2476,0.3331,0.2329,0.2981,0.3215,0.4051,0.2346,0.2705,0.2826,0.2702,0.2694,0.2579,0.3515,0.2637,0.2497,0.7885,0.3112
"tyrosine",1.3682,0.9134,1.1243,1.1147,0.9266,0.8795,1.871,1.9817,0.9134,0.621,0.8516,0.7873,0.5474,0.4901,1.1542,1.9817,0.4854,0.5159,1.0186,1.0533,0.4784,0.5765,1.3564,1.1629,0.5699,0.5452,1.1928,1.0337,0.5893,0.7038,0.9567,0.9727,0.5743,0.5384,1.3962,0.9189,0.5778,0.4668,1.0051,0.8514,0.5614,0.5153,1.0311,1.0283,0.497,0.4873,0.9647,0.9906,0.587,0.641,0.9317,0.9139,0.5705,0.5254,0.9805,0.9805,0.5516,0.5912,1.0637,1.0164,0.6399,0.5973,1.1542,1.0682,0.8225,0.6709,1.1907,1.1614,0.8981,0.667,1.0867,1.1703,0.7378,0.7599,1.0787,1.039,0.8078,0.6469,1.8586,1.0655
