"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"16SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"20SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25MKA"
